Title,Genre,Premiere,Runtime,IMDB Score,Language,Release Year,Decade,IMDB Category,Language Group,Genre Group
Despite Everything,Comedy,2019-05-03,78,5.4,Spanish,2019.0,2010.0,Average,Non-English,Comedy
Dolly Kitty and Those Twinkling Stars,Drama,2020-09-18,120,5.4,Hindi,2020.0,2020.0,Average,Non-English,Drama/Romance
Freaks: You're One of Us,Supernatural Drama,2020-09-02,92,5.4,German,2020.0,2020.0,Average,Non-English,Drama/Romance
"Game Over, Man!",Action/Comedy,2018-03-23,101,5.4,English,2018.0,2010.0,Average,English,Comedy
Guilty,Thriller,2020-03-06,119,5.4,Hindi,2020.0,2020.0,Average,Non-English,Thriller/Horror
In the Tall Grass,Horror,2019-10-04,101,5.4,English,2019.0,2010.0,Average,English,Thriller/Horror
Madame Claude,Drama,2021-04-02,112,5.4,French,2021.0,2020.0,Average,Non-English,Drama/Romance
Naked,Comedy,2017-08-11,96,5.4,English,2017.0,2010.0,Average,English,Comedy
Outside the Wire,Action/Science Fiction,2021-01-15,114,5.4,English,2021.0,2020.0,Average,English,Action/Adventure
The Princess Switch: Switched Again,Romantic Comedy,2020-11-19,97,5.4,English,2020.0,2020.0,Average,English,Comedy
Under the Riccione Sun,Romantic Teenage Drama,2020-07-01,101,5.4,Italian,2020.0,2020.0,Average,Non-English,Drama/Romance
A Very Murray Christmas,Comedy / Musical,2015-12-04,56,5.5,English,2015.0,2010.0,Average,English,Comedy
Been So Long,Musical,2018-10-26,100,5.5,English,2018.0,2010.0,Average,English,Other
Dead Kids,Thriller,2019-12-01,94,5.5,Filipino,2019.0,2010.0,Average,Non-English,Thriller/Horror
Get the Grift,Comedy,2021-04-28,94,5.5,Portuguese,2021.0,2020.0,Average,Non-English,Comedy
House Arrest,Comedy,2019-11-15,104,5.5,Hindi,2019.0,2010.0,Average,Non-English,Comedy
Kevin Hart's Guide to Black History,Variety Show,2019-02-08,63,5.5,English,2019.0,2010.0,Average,English,Other
Love Wedding Repeat,Romantic Comedy,2020-04-10,100,5.5,English,2020.0,2020.0,Average,English,Comedy
Mute,Science Fiction/Mystery,2018-02-23,126,5.5,English,2018.0,2010.0,Average,English,Other
Òlòt?ré,Crime Drama,2020-10-02,106,5.5,English,2020.0,2020.0,Average,English,Drama/Romance
Red Dot,Thriller,2021-02-11,86,5.5,Swedish,2021.0,2020.0,Average,Non-English,Thriller/Horror
Step Sisters,Comedy,2018-01-19,108,5.5,English,2018.0,2010.0,Average,English,Comedy
The Cloverfield Paradox,Science Fiction,2018-02-04,102,5.5,English,2018.0,2010.0,Average,English,Other
The Knight Before Christmas,Romantic Comedy,2019-11-21,92,5.5,English,2019.0,2010.0,Average,English,Comedy
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,2018-07-06,83,5.5,English,2018.0,2010.0,Average,English,Comedy
The Package,Black Comedy,2018-08-10,94,5.5,English,2018.0,2010.0,Average,English,Comedy
Unicorn Store,Comedy,2019-04-05,92,5.5,English,2019.0,2010.0,Average,English,Comedy
Wine Country,Comedy,2019-05-10,103,5.5,English,2019.0,2010.0,Average,English,Comedy
Bomb Scared,Black Comedy,2017-10-12,89,5.6,Spanish/Basque,2017.0,2010.0,Average,Non-English,Comedy
Brahman Naman,Comedy,2016-07-07,95,5.6,English,2016.0,2010.0,Average,English,Comedy
Double Dad,Comedy-Drama,2021-01-15,103,5.6,Portuguese,2021.0,2020.0,Average,Non-English,Drama/Romance
Falling Inn Love,Romantic Comedy,2019-08-29,97,5.6,English,2019.0,2010.0,Average,English,Comedy
Hold the Dark,Thriller,2018-09-28,125,5.6,English,2018.0,2010.0,Average,English,Thriller/Horror
"Love, Guaranteed",Romantic Comedy,2020-09-03,91,5.6,English,2020.0,2020.0,Average,English,Comedy
One-Way to Tomorrow,Romance,2020-06-19,90,5.6,Turkish,2020.0,2020.0,Average,Non-English,Drama/Romance
The Last Laugh,Comedy-Drama,2019-01-11,98,5.6,English,2019.0,2010.0,Average,English,Drama/Romance
The Last Paradiso,Romantic Drama,2021-02-05,107,5.6,Italian,2021.0,2020.0,Average,Non-English,Drama/Romance
The Midnight Sky,Science Fiction,2020-12-23,118,5.6,English,2020.0,2020.0,Average,English,Other
The Paramedic,Thriller,2020-09-16,94,5.6,Spanish,2020.0,2020.0,Average,Non-English,Thriller/Horror
The Sleepover,Comedy,2020-08-21,103,5.6,English,2020.0,2020.0,Average,English,Comedy
Vampires vs. the Bronx,Horror Comedy,2020-10-02,86,5.6,English,2020.0,2020.0,Average,English,Thriller/Horror
Why Did You Kill Me?,Documentary,2021-04-14,83,5.6,English,2021.0,2020.0,Average,English,Documentary
A Week Away,Christian Musical,2021-03-26,97,5.7,English,2021.0,2020.0,Average,English,Other
Caught by a Wave,Romantic Teen Drama,2021-03-25,99,5.7,Italian,2021.0,2020.0,Average,Non-English,Drama/Romance
Christmas Inheritance,Romantic Drama,2017-12-15,104,5.7,English,2017.0,2010.0,Average,English,Drama/Romance
Dad Wanted,Family,2020-09-11,102,5.7,Spanish,2020.0,2020.0,Average,Non-English,Other
El Camino Christmas,Dark Comedy,2017-12-08,89,5.7,English,2017.0,2010.0,Average,English,Comedy
Eli,Horror,2019-10-18,98,5.7,English,2019.0,2010.0,Average,English,Thriller/Horror
Ginny Weds Sunny,Romantic Comedy,2020-10-09,125,5.7,Hindi,2020.0,2020.0,Average,Non-English,Comedy
Good Sam,Drama,2019-05-16,89,5.7,English,2019.0,2010.0,Average,English,Drama/Romance
Lionheart,Comedy,2019-01-04,94,5.7,English,2019.0,2010.0,Average,English,Comedy
Little Evil,Comedy Horror,2017-09-01,94,5.7,English,2017.0,2010.0,Average,English,Thriller/Horror
One Take,Documentary,2020-06-18,85,5.7,Thai,2020.0,2020.0,Average,Non-English,Documentary
Point Blank,Action,2019-07-12,86,5.7,English,2019.0,2010.0,Average,English,Action/Adventure
Prime Time,Thriller,2021-04-14,91,5.7,Polish,2021.0,2020.0,Average,Non-English,Thriller/Horror
The Do-Over,Action Comedy,2016-05-27,108,5.7,English,2016.0,2010.0,Average,English,Comedy
The Holiday Calendar,Romantic Comedy,2018-11-02,95,5.7,English,2018.0,2010.0,Average,English,Comedy
The Woman in the Window,Psychological Thriller,2021-05-14,100,5.7,English,2021.0,2020.0,Average,English,Thriller/Horror
The Wrong Missy,Comedy,2020-05-13,90,5.7,English,2020.0,2020.0,Average,English,Comedy
Velvet Buzzsaw,Thriller,2019-02-01,112,5.7,English,2019.0,2010.0,Average,English,Thriller/Horror
Yes Day,Comedy,2021-03-12,86,5.7,English,2021.0,2020.0,Average,English,Comedy
15 August,Comedy-Drama,2019-03-29,124,5.8,Marathi,2019.0,2010.0,Average,Non-English,Drama/Romance
A California Christmas,Romantic Comedy,2020-12-14,107,5.8,English,2020.0,2020.0,Average,English,Comedy
A Christmas Prince,Romantic Comedy,2017-11-17,92,5.8,English,2017.0,2010.0,Average,English,Comedy
All Day and a Night,Drama,2020-05-01,121,5.8,English,2020.0,2020.0,Average,English,Drama/Romance
American Son,Drama,2019-11-01,90,5.8,English,2019.0,2010.0,Average,English,Drama/Romance
Barry,Biopic,2016-12-16,104,5.8,English,2016.0,2010.0,Average,English,Other
Candy Jar,Comedy,2018-04-27,92,5.8,English,2018.0,2010.0,Average,English,Comedy
Choked: Paisa Bolta Hai,Drama,2020-06-05,114,5.8,Hindi,2020.0,2020.0,Average,Non-English,Drama/Romance
Class of '83,Drama,2020-08-21,98,5.8,Hindi,2020.0,2020.0,Average,Non-English,Drama/Romance
Extinction,Science Fiction/Thriller,2018-07-27,95,5.8,English,2018.0,2010.0,Average,English,Thriller/Horror
Happy Anniversary,Romantic Comedy,2018-03-30,78,5.8,English,2018.0,2010.0,Average,English,Comedy
I Am All Girls,Thriller,2021-05-14,107,5.8,English,2021.0,2020.0,Average,English,Thriller/Horror
Let It Snow,Romantic Comedy,2019-11-08,92,5.8,English,2019.0,2010.0,Average,English,Comedy
Mascots,Mockumentary,2016-10-13,95,5.8,English,2016.0,2010.0,Average,English,Other
Operation Christmas Drop,Romantic Comedy,2020-11-05,96,5.8,English,2020.0,2020.0,Average,English,Comedy
Rajma Chawal,Comedy-Drama,2018-11-30,118,5.8,Hindi,2018.0,2010.0,Average,Non-English,Drama/Romance
Rich in Love,Romantic Comedy,2020-04-30,105,5.8,Portuguese,2020.0,2020.0,Average,Non-English,Comedy
Rising High,Satire,2020-04-17,94,5.8,German,2020.0,2020.0,Average,Non-English,Other
Sierra Burgess Is a Loser,Romantic Comedy-Drama,2018-09-07,105,5.8,English,2018.0,2010.0,Average,English,Drama/Romance
Small Crimes,Dark Comedy,2017-04-28,95,5.8,English,2017.0,2010.0,Average,English,Comedy
Special Correspondents,Satire,2016-04-29,100,5.8,English,2016.0,2010.0,Average,English,Other
TAU,Science Fiction/Thriller,2018-06-29,97,5.8,English,2018.0,2010.0,Average,English,Thriller/Horror
The After Party,Comedy,2018-08-24,89,5.8,English,2018.0,2010.0,Average,English,Comedy
The Babysitter: Killer Queen,Comedy/Horror,2020-09-10,102,5.8,English,2020.0,2020.0,Average,English,Thriller/Horror
The Claus Family,Fantasy,2020-12-07,96,5.8,Dutch,2020.0,2020.0,Average,Non-English,Other
The Kissing Booth 2,Romantic Comedy,2020-07-24,131,5.8,English,2020.0,2020.0,Average,English,Comedy
The Perfect Date,Romantic Comedy,2019-04-12,89,5.8,English,2019.0,2010.0,Average,English,Comedy
What We Wanted,Drama,2020-11-11,93,5.8,German,2020.0,2020.0,Average,Non-English,Drama/Romance
You've Got This,Romantic Comedy,2020-10-02,111,5.8,Spanish,2020.0,2020.0,Average,Non-English,Comedy
6 Balloons,Drama,2018-04-06,75,5.9,English,2018.0,2010.0,Average,English,Drama/Romance
A Fall from Grace,Thriller,2020-01-17,120,5.9,English,2020.0,2020.0,Average,English,Thriller/Horror
Amateur,Sports-Drama,2018-04-06,96,5.9,English,2018.0,2010.0,Average,English,Drama/Romance
Cam,Psychological Horror,2018-11-16,94,5.9,English,2018.0,2010.0,Average,English,Thriller/Horror
Earthquake Bird,Mystery,2019-11-15,107,5.9,English,2019.0,2010.0,Average,English,Other
Horse Girl,Drama,2020-02-07,104,5.9,English,2020.0,2020.0,Average,English,Drama/Romance
Maska,Romantic Comedy,2020-03-27,111,5.9,Hindi,2020.0,2020.0,Average,Non-English,Comedy
The Decline,Thriller,2020-03-27,83,5.9,French,2020.0,2020.0,Average,Non-English,Thriller/Horror
The Minimalists: Less Is Now,Documentary,2021-01-01,53,5.9,English,2021.0,2020.0,Average,English,Documentary
The Polka King,Comedy-Drama,2018-01-12,95,5.9,English,2018.0,2010.0,Average,English,Drama/Romance
The Prom,Musical,2020-12-11,132,5.9,English,2020.0,2020.0,Average,English,Other
True Memoirs of an International Assassin,Action Comedy,2016-11-11,98,5.9,English,2016.0,2010.0,Average,English,Comedy
Ultras,Sports Film,2020-03-20,108,5.9,Italian,2020.0,2020.0,Average,Non-English,Other
Come Sunday,Biopic,2018-04-13,106,6.0,English,2018.0,2010.0,Average,English,Other
Forgive Us Our Debts,Drama,2018-05-04,104,6.0,Italian,2018.0,2010.0,Average,Non-English,Drama/Romance
iBoy,Science Fiction/Thriller,2017-01-27,90,6.0,English,2017.0,2010.0,Average,English,Thriller/Horror
Lovefucked,Drama,2019-08-09,106,6.0,Hindi,2019.0,2010.0,Average,Non-English,Drama/Romance
Juanita,Drama,2019-03-08,90,6.0,English,2019.0,2010.0,Average,English,Drama/Romance
Murder Mystery,Comedy Mystery,2019-06-14,97,6.0,English,2019.0,2010.0,Average,English,Comedy
Project Power,Superhero,2020-08-14,113,6.0,English,2020.0,2020.0,Average,English,Other
Rebecca,Romantic Thriller,2020-10-21,123,6.0,English,2020.0,2020.0,Average,English,Thriller/Horror
The Christmas Chronicles: Part Two,Christmas Comedy,2020-11-25,115,6.0,English,2020.0,2020.0,Average,English,Comedy
The Kissing Booth,Romantic Comedy,2018-05-11,105,6.0,English,2018.0,2010.0,Average,English,Comedy
The Princess Switch,Romantic Comedy,2018-11-16,101,6.0,English,2018.0,2010.0,Average,English,Comedy
To All the Boys: P.S. I Still Love You,Romantic Comedy,2020-02-12,102,6.0,English,2020.0,2020.0,Average,English,Comedy
War Machine,War-Comedy,2017-05-26,122,6.0,English,2017.0,2010.0,Average,English,Comedy
6 Underground,Action,2019-12-13,128,6.1,English,2019.0,2010.0,Average,English,Action/Adventure
Between Two Ferns: The Movie,Comedy,2019-09-20,82,6.1,English,2019.0,2010.0,Average,English,Comedy
Burning Sands,Drama,2017-03-10,102,6.1,English,2017.0,2010.0,Average,English,Drama/Romance
Casting JonBenet,Documentary,2017-04-28,80,6.1,English,2017.0,2010.0,Average,English,Documentary
Deidra & Laney Rob a Train,Drama,2017-03-17,94,6.1,English,2017.0,2010.0,Average,English,Drama/Romance
Finding 'Ohana,Family,2021-01-29,123,6.1,English,2021.0,2020.0,Average,English,Other
Holidate,Romantic Comedy/Holiday,2020-10-28,104,6.1,English,2020.0,2020.0,Average,English,Comedy
Holiday in the Wild,Adventure-Romance,2019-11-01,85,6.1,English,2019.0,2010.0,Average,English,Drama/Romance
Hot Girls Wanted,Documentary,2015-05-29,84,6.1,English,2015.0,2010.0,Average,English,Documentary
Like Father,Comedy,2018-08-03,103,6.1,English,2018.0,2010.0,Average,English,Comedy
Lost Girls,Crime Drama,2020-03-13,95,6.1,English,2020.0,2020.0,Average,English,Drama/Romance
Otherhood,Comedy,2019-08-02,100,6.1,English,2019.0,2010.0,Average,English,Comedy
Pee-wee's Big Holiday,Adventure,2016-03-18,89,6.1,English,2016.0,2010.0,Average,English,Action/Adventure
Rogue City,Crime Drama,2020-10-30,116,6.1,French,2020.0,2020.0,Average,Non-English,Drama/Romance
Sergio,Biopic,2020-04-17,118,6.1,English,2020.0,2020.0,Average,English,Other
Stuck Apart,Drama,2021-01-08,96,6.1,Turkish,2021.0,2020.0,Average,Non-English,Drama/Romance
Tersanjung the Movie,Drama,2021-04-01,114,6.1,Indonesian,2021.0,2020.0,Average,Non-English,Drama/Romance
The Killer,Western,2017-11-10,99,6.1,Portuguese,2017.0,2010.0,Average,Non-English,Other
The Lovebirds,Romantic Comedy,2020-05-22,87,6.1,English,2020.0,2020.0,Average,English,Comedy
The Most Hated Woman in America,Biopic,2017-03-24,92,6.1,English,2017.0,2010.0,Average,English,Other
The Perfection,Horror-Thriller,2019-05-24,90,6.1,English,2019.0,2010.0,Average,English,Thriller/Horror
Tribhanga  Tedhi Medhi Crazy,Drama,2021-01-15,95,6.1,Hindi,2021.0,2020.0,Average,Non-English,Drama/Romance
Unknown Origins,Thriller,2020-08-28,96,6.1,Spanish,2020.0,2020.0,Average,Non-English,Thriller/Horror
Work It,Dance Comedy,2020-08-07,93,6.1,English,2020.0,2020.0,Average,English,Comedy
Baggio: The Divine Ponytail,Biopic,2021-05-26,92,6.2,Italian,2021.0,2020.0,Average,Non-English,Other
Below Zero,Drama,2021-01-29,106,6.2,Spanish,2021.0,2020.0,Average,Non-English,Drama/Romance
Crazy Awesome Teachers,Comedy-Drama,2020-08-17,101,6.2,Indonesian,2020.0,2020.0,Average,Non-English,Drama/Romance
Have You Ever Seen Fireflies?,Comedy,2021-04-09,114,6.2,Turkish,2021.0,2020.0,Average,Non-English,Comedy
High Flying Bird,Sports-Drama,2019-02-08,90,6.2,English,2019.0,2010.0,Average,English,Drama/Romance
In the Shadow of the Moon,Thriller,2019-09-27,115,6.2,English,2019.0,2010.0,Average,English,Thriller/Horror
Lost Bullet,Thriller,2020-06-19,92,6.2,French,2020.0,2020.0,Average,Non-English,Thriller/Horror
Octonauts & the Caves of Sac Actun,Animation,2020-08-14,72,6.2,English,2020.0,2020.0,Average,English,Other
Offering to the Storm,Thriller,2020-07-24,139,6.2,Spanish,2020.0,2020.0,Average,Non-English,Thriller/Horror
Roxanne Roxanne,Biopic,2018-03-23,98,6.2,English,2018.0,2010.0,Average,English,Other
Someone Great,Romantic Comedy,2019-04-19,92,6.2,English,2019.0,2010.0,Average,English,Comedy
Spenser Confidential,Action Comedy,2020-03-06,111,6.2,English,2020.0,2020.0,Average,English,Comedy
The Land of Steady Habits,Drama,2018-09-14,98,6.2,English,2018.0,2010.0,Average,English,Drama/Romance
The Rachel Divide,Documentary,2018-04-27,104,6.2,English,2018.0,2010.0,Average,English,Documentary
Voyuer ,Documentary,2017-12-01,95,6.2,English,2017.0,2010.0,Average,English,Documentary
Win It All,Comedy,2017-04-07,88,6.2,English,2017.0,2010.0,Average,English,Comedy
1922,Horror/Crime Drama,2017-10-20,102,6.3,English,2017.0,2010.0,Average,English,Drama/Romance
Alex Strangelove,Romantic Comedy,2018-06-08,99,6.3,English,2018.0,2010.0,Average,English,Comedy
Apostle,Horror-Thriller,2018-10-12,129,6.3,English,2018.0,2010.0,Average,English,Thriller/Horror
Benji,Family Film,2018-03-16,87,6.3,English,2018.0,2010.0,Average,English,Other
Bright,Urban Fantasy,2017-12-22,117,6.3,English,2017.0,2010.0,Average,English,Other
Cargo,Drama/Horror,2018-05-18,104,6.3,English,2018.0,2010.0,Average,English,Drama/Romance
Concrete Cowboy,Drama,2021-04-02,111,6.3,English,2021.0,2020.0,Average,English,Drama/Romance
Feel the Beat,Family/Comedy-Drama,2020-06-19,107,6.3,English,2020.0,2020.0,Average,English,Drama/Romance
Get the Goat,Comedy,2021-03-18,97,6.3,Portuguese,2021.0,2020.0,Average,Non-English,Comedy
I Am Not an Easy Man,Romantic Comedy,2018-04-13,98,6.3,French,2018.0,2010.0,Average,Non-English,Comedy
June & Kopi,Drama,2021-01-28,90,6.3,Indonesian,2021.0,2020.0,Average,Non-English,Drama/Romance
Music Teacher,Drama,2019-04-19,101,6.3,Hindi,2019.0,2010.0,Average,Non-English,Drama/Romance
Nail Bomber: Manhunt,Documentary,2021-05-26,72,6.3,English,2021.0,2020.0,Average,English,Documentary
Notes for My Son,Drama,2020-11-24,83,6.3,Spanish,2020.0,2020.0,Average,Non-English,Drama/Romance
Polar,Action,2019-01-25,118,6.3,English,2019.0,2010.0,Average,English,Action/Adventure
Sand Castle,War,2017-04-21,113,6.3,English,2017.0,2010.0,Average,English,Other
Shimmer Lake,Crime Thriller,2017-06-09,86,6.3,English,2017.0,2010.0,Average,English,Thriller/Horror
Spectral,Science Fiction/Action,2016-12-09,108,6.3,English,2016.0,2010.0,Average,English,Action/Adventure
The Babysitter,Teen Comedy Horror,2017-10-13,85,6.3,English,2017.0,2010.0,Average,English,Thriller/Horror
The Discovery,Science Fiction/Drama,2017-03-31,102,6.3,English,2017.0,2010.0,Average,English,Drama/Romance
The Laundromat,Comedy-Drama,2019-10-18,98,6.3,English,2019.0,2010.0,Average,English,Drama/Romance
The Legend of Cocaine Island,Documentary,2019-03-29,87,6.3,English,2019.0,2010.0,Average,English,Documentary
The Outsider,Crime Drama,2018-03-09,120,6.3,English/Japanese,2018.0,2010.0,Average,English,Drama/Romance
Time to Hunt,Thriller,2020-04-23,134,6.3,Korean,2020.0,2020.0,Average,Non-English,Thriller/Horror
To All the Boys: Always and Forever,Romantic Comedy,2021-02-12,109,6.3,English,2021.0,2020.0,Average,English,Comedy
Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85,6.3,English,2019.0,2010.0,Average,English,Documentary
Uncorked,Drama,2020-03-27,103,6.3,English,2020.0,2020.0,Average,English,Drama/Romance
Anelka: Misunderstood,Documentary,2020-08-05,94,6.4,French,2020.0,2020.0,Average,Non-English,Documentary
"Ariana Grande: Excuse Me, I Love You",Concert Film,2020-12-21,97,6.4,English,2020.0,2020.0,Average,English,Other
ARQ,Science Fiction/Thriller,2016-09-16,88,6.4,English,2016.0,2010.0,Average,English,Thriller/Horror
Como Caído del Cielo,Musical Comedy,2019-12-24,112,6.4,Spanish,2019.0,2010.0,Average,Non-English,Comedy
First Match,Sports-Drama,2018-03-30,102,6.4,English,2018.0,2010.0,Average,English,Drama/Romance
Fractured,Thriller,2019-10-11,100,6.4,English,2019.0,2010.0,Average,English,Thriller/Horror
Irreplaceable You,Drama,2018-02-16,96,6.4,English,2018.0,2010.0,Average,English,Drama/Romance
Isi & Ossi,Romantic Comedy,2020-02-14,113,6.4,German,2020.0,2020.0,Average,Non-English,Comedy
Layla Majnun,Romantic Drama,2021-02-11,119,6.4,Indonesian,2021.0,2020.0,Average,Non-English,Drama/Romance
Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97,6.4,English,2020.0,2020.0,Average,English,Documentary
My Own Man,Documentary,2014-12-13,81,6.4,English,2014.0,2010.0,Average,English,Documentary
Nappily Ever After,Comedy-Drama,2018-09-21,98,6.4,English,2018.0,2010.0,Average,English,Drama/Romance
Over the Moon,Animation/Musical/Adventure,2020-10-23,95,6.4,English,2020.0,2020.0,Average,English,Action/Adventure
Street Flow,Drama,2019-10-12,96,6.4,French,2019.0,2010.0,Average,Non-English,Drama/Romance
Strong Island,Documentary,,107,6.4,English,,,Average,English,Documentary
Take Your Pills,Documentary,2018-03-16,87,6.4,English,2018.0,2010.0,Average,English,Documentary
The Heartbreak Club,Comedy-Drama,2021-01-14,101,6.4,Indonesian,2021.0,2020.0,Average,Non-English,Drama/Romance
The Mars Generation,Documentary,2017-05-05,97,6.4,English,2017.0,2010.0,Average,English,Documentary
The Occupant,Thriller,2020-03-25,103,6.4,Spanish,2020.0,2020.0,Average,Non-English,Thriller/Horror
The Willoughbys,Animation/Comedy/Adventure,2020-04-22,90,6.4,English,2020.0,2020.0,Average,English,Comedy
Triple Frontier,Action-Thriller,2019-03-13,125,6.4,English,2019.0,2010.0,Average,English,Thriller/Horror
Two Catalonias,Documentary,2018-09-28,116,6.4,Spanish/Catalan,2018.0,2010.0,Average,Non-English,Documentary
Walk. Ride. Rodeo.,Drama,2019-03-08,99,6.4,English,2019.0,2010.0,Average,English,Drama/Romance
Wheelman,Action Thriller,2017-10-20,82,6.4,English,2017.0,2010.0,Average,English,Thriller/Horror
When We First Met,Romantic Comedy,2018-02-09,97,6.4,English,2018.0,2010.0,Average,English,Comedy
All the Bright Places,Romance,2020-02-28,108,6.5,English,2020.0,2020.0,Average,English,Drama/Romance
All Together Now,Drama,2020-08-28,93,6.5,English,2020.0,2020.0,Average,English,Drama/Romance
Altered Carbon: Resleeved,Anime/Science Fiction,2020-03-19,74,6.5,Japanese,2020.0,2020.0,Average,Non-English,Other
Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60,6.5,French,2019.0,2010.0,Average,Non-English,Documentary
Chopsticks,Comedy,2019-05-31,100,6.5,Hindi,2019.0,2010.0,Average,Non-English,Comedy
Dolly Parton: A MusiCares Tribute,Documentary,2021-04-07,55,6.5,English,2021.0,2020.0,Average,English,Documentary
Eurovision Song Contest: The Story of Fire Saga,Musical Comedy,2020-06-26,123,6.5,English,2020.0,2020.0,Average,English,Comedy
Gerald's Game,Horror Thriller,2017-09-29,103,6.5,English,2017.0,2010.0,Average,English,Thriller/Horror
His House,Thriller,2020-10-30,93,6.5,English,2020.0,2020.0,Average,English,Thriller/Horror
Jingle Jangle: A Christmas Journey,Family/Christmas Musical,2020-11-13,119,6.5,English,2020.0,2020.0,Average,English,Other
Lust Stories,Drama,2018-06-15,120,6.5,Hindi,2018.0,2010.0,Average,Non-English,Drama/Romance
Monster,Drama,2021-05-07,98,6.5,English,2021.0,2020.0,Average,English,Drama/Romance
Mowgli: Legend of the Jungle,Adventure,2018-12-07,104,6.5,English,2018.0,2010.0,Average,English,Action/Adventure
Nobody Knows I'm Here,Drama,2020-06-24,91,6.5,Spanish,2020.0,2020.0,Average,Non-English,Drama/Romance
Nobody Speak: Trials of the Free Press,Documentary,2017-06-23,95,6.5,English,2017.0,2010.0,Average,English,Documentary
Oxygen,Science Fiction Thriller,2021-05-12,101,6.5,French,2021.0,2020.0,Average,Non-English,Thriller/Horror
Set It Up,Romantic Comedy,2018-06-15,105,6.5,English,2018.0,2010.0,Average,English,Comedy
The Incredible Jessica James,Comedy,2017-07-28,83,6.5,English,2017.0,2010.0,Average,English,Comedy
Tigertail,Drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin,2020.0,2020.0,Average,English,Drama/Romance
Tramps,Romance,2017-04-21,83,6.5,English,2017.0,2010.0,Average,English,Drama/Romance
Bad Trip,Hidden-Camera Prank Comedy,2021-03-26,86,6.6,English,2021.0,2020.0,Average,English,Comedy
Bird Box,Psychological Thriller,2018-12-21,124,6.6,English,2018.0,2010.0,Average,English,Thriller/Horror
Bulbbul,Horror,2020-06-24,94,6.6,Hindi,2020.0,2020.0,Average,Non-English,Thriller/Horror
Crazy About Her,Romantic Comedy,2021-02-26,102,6.6,Spanish,2021.0,2020.0,Average,Non-English,Comedy
Elisa & Marcela,Romance,2019-06-07,118,6.6,Spanish,2019.0,2010.0,Average,Non-English,Drama/Romance
I'll Sleep When I'm Dead,Documentary,2016-08-19,79,6.6,English,2016.0,2010.0,Average,English,Documentary
I'm Thinking of Ending Things,Psychological Thriller,2020-09-04,134,6.6,English,2020.0,2020.0,Average,English,Thriller/Horror
It Takes a Lunatic,Documentary,2019-10-25,126,6.6,English,2019.0,2010.0,Average,English,Documentary
Milestone,Drama,2021-05-07,98,6.6,Hindi,2021.0,2020.0,Average,Non-English,Drama/Romance
Recovery Boys,Documentary,2018-06-29,89,6.6,English,2018.0,2010.0,Average,English,Documentary
ReMastered: Who Killed Jam Master Jay?,Documentary,2018-12-07,58,6.6,English,2018.0,2010.0,Average,English,Documentary
Shawn Mendes: In Wonder,Documentary,2020-11-23,83,6.6,English,2020.0,2020.0,Average,English,Documentary
Space Sweepers,Science Fiction,2021-02-05,136,6.6,Korean,2021.0,2020.0,Average,Non-English,Other
The American Meme,Documentary,2018-12-07,98,6.6,English,2018.0,2010.0,Average,English,Documentary
The Angel,Spy Thriller,2018-09-14,114,6.6,English,2018.0,2010.0,Average,English,Thriller/Horror
The Crimes That Bind,Crime Drama,2020-08-20,99,6.6,Spanish,2020.0,2020.0,Average,Non-English,Drama/Romance
The Red Sea Diving Resort,Spy Thriller,2019-07-31,130,6.6,English,2019.0,2010.0,Average,English,Thriller/Horror
A Whisker Away,Anime/Fantasy,2020-06-18,104,6.7,Japanese,2020.0,2020.0,Average,Non-English,Other
Arlo the Alligator Boy,Animated Musical Comedy,2021-04-16,92,6.7,English,2021.0,2020.0,Average,English,Comedy
"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86,6.7,English,2019.0,2010.0,Average,English,Documentary
Blame!,Anime/Science Fiction,2017-05-20,106,6.7,Japanese,2017.0,2010.0,Average,Non-English,Other
Blue Miracle,Drama,2021-05-27,95,6.7,English,2021.0,2020.0,Average,English,Drama/Romance
CounterPunch ,Documentary,2017-06-16,91,6.7,English,2017.0,2010.0,Average,English,Documentary
"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89,6.7,English,2021.0,2020.0,Average,English,Documentary
Extraction,Action,2020-04-24,117,6.7,English,2020.0,2020.0,Average,English,Action/Adventure
Giving Voice,Documentary,2020-12-11,90,6.7,English,2020.0,2020.0,Average,English,Documentary
