Title,Genre,Premiere,Runtime,IMDB Score,Language,Release Year,Decade,IMDB Category,Language Group,Genre Group
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,2018-11-22,104,7.0,English,2018.0,2010.0,High,English,Comedy
The Dirt,Biopic,2019-03-22,108,7.0,English,2019.0,2010.0,High,English,Other
The Night Comes for Us,Action-Thriller,2018-10-19,121,7.0,Indonesian,2018.0,2010.0,High,Non-English,Thriller/Horror
Beats,Drama,2019-06-19,110,7.1,English,2019.0,2010.0,High,English,Drama/Romance
Circus of Books,Documentary,2020-04-22,92,7.1,English,2020.0,2020.0,High,English,Documentary
Dance Dreams: Hot Chocolate Nutcracker,Documentary,2020-11-27,80,7.1,English,2020.0,2020.0,High,English,Documentary
El Pepe: A Supreme Life,Documentary,2019-12-27,73,7.1,Spanish,2019.0,2010.0,High,Non-English,Documentary
Evelyn,Documentary,2019-09-10,96,7.1,English,2019.0,2010.0,High,English,Documentary
Ferry,Crime Drama,2021-05-14,106,7.1,Dutch,2021.0,2020.0,High,Non-English,Drama/Romance
Grass Is Greener,Documentary,2019-04-20,97,7.1,English,2019.0,2010.0,High,English,Documentary
Guillermo Vilas: Settling the Score,Documentary,2020-10-27,94,7.1,Spanish,2020.0,2020.0,High,Non-English,Documentary
Joshua: Teenager vs. Superpower,Documentary,2017-05-26,78,7.1,English,2017.0,2010.0,High,English,Documentary
Keith Richards: Under the Influence,Documentary,2015-09-18,81,7.1,English,2015.0,2010.0,High,English,Documentary
Knock Down the House,Documentary,2019-05-01,87,7.1,English,2019.0,2010.0,High,English,Documentary
Loudon Wainwright III: Surviving Twin,One-Man Show,2018-11-13,91,7.1,English,2018.0,2010.0,High,English,Other
My Beautiful Broken Brain,Documentary,2016-03-18,91,7.1,English,2016.0,2010.0,High,English,Documentary
One of Us,Documentary,2017-10-20,95,7.1,English,2017.0,2010.0,High,English,Documentary
Pieces of a Woman,Drama,2021-01-07,126,7.1,English,2021.0,2020.0,High,English,Drama/Romance
ReMastered: Tricky Dick & the Man in Black,Documentary,2018-11-02,58,7.1,English,2018.0,2010.0,High,English,Documentary
The Devil All the Time,Psychological Thriller,2020-09-16,138,7.1,English,2020.0,2020.0,High,English,Thriller/Horror
The Dig,Drama,2021-01-29,112,7.1,English,2021.0,2020.0,High,English,Drama/Romance
The Great Hack,Documentary,2019-07-24,114,7.1,English,2019.0,2010.0,High,English,Documentary
The White Tiger,Drama,2021-01-22,125,7.1,English,2021.0,2020.0,High,English,Drama/Romance
To All the Boys I've Loved Before,Romantic Comedy,2018-08-17,99,7.1,English,2018.0,2010.0,High,English,Comedy
American Murder: The Family Next Door,Documentary,2020-09-30,82,7.2,English,2020.0,2020.0,High,English,Documentary
Audrie & Daisy,Documentary,2016-09-23,98,7.2,English,2016.0,2010.0,High,English,Documentary
First They Killed My Father,Drama,2017-09-15,136,7.2,Khmer/English/French,2017.0,2010.0,High,English,Drama/Romance
Fyre: The Greatest Party That Never Happened,Documentary,2019-01-18,97,7.2,English,2019.0,2010.0,High,English,Documentary
Into the Inferno,Documentary,2016-10-28,107,7.2,English,2016.0,2010.0,High,English,Documentary
LA Originals,Documentary,2020-04-10,92,7.2,English,2020.0,2020.0,High,English,Documentary
Love per Square Foot,Romantic Comedy,2018-02-14,133,7.2,Hindi,2018.0,2010.0,High,Non-English,Comedy
